rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
142,frame_0195.jpg,78.0,0.408,0.5166,0.2857,0.32,2,2,False,False
143,frame_0376.jpg,150.4,0.4056,0.6615,0.1429,0.16,6,1,False,False
144,frame_0067.jpg,26.8,0.405,0.3242,0.1429,1.0,5,1,False,False
145,frame_0125.jpg,50.0,0.405,0.522,0.0,0.72,4,0,False,False
146,frame_0328.jpg,131.2,0.4032,0.5173,0.4286,0.08,8,3,False,False
147,frame_0319.jpg,127.6,0.394,0.4189,0.4286,0.28,7,3,False,False
148,frame_0202.jpg,80.8,0.3939,0.3763,0.2857,0.6,3,2,False,False
149,frame_0080.jpg,32.0,0.3929,0.3104,0.2857,0.76,3,2,False,False
150,frame_0281.jpg,112.4,0.3911,0.5204,0.1429,0.44,4,1,False,False
151,frame_0121.jpg,48.4,0.3891,0.4685,0.1429,0.56,3,1,False,False
152,frame_0391.jpg,156.4,0.3889,0.5047,0.4286,0.04,4,3,False,False
153,frame_0186.jpg,74.4,0.388,0.4172,0.5714,0.04,6,4,False,False
154,frame_0198.jpg,79.2,0.3872,0.5126,0.1429,0.44,1,1,False,False
155,frame_0279.jpg,111.6,0.3865,0.4575,0.2857,0.36,5,2,False,False
156,frame_0314.jpg,125.6,0.3848,0.5661,0.2857,0.08,3,2,False,False
157,frame_0206.jpg,82.4,0.3842,0.3786,0.1429,0.76,1,1,False,False
158,frame_0012.jpg,4.8,0.3839,0.2821,0.1429,1.0,3,1,False,False
159,frame_0332.jpg,132.8,0.3829,0.5784,0.2857,0.04,5,2,False,False
160,frame_0305.jpg,122.0,0.3804,0.4774,0.2857,0.28,5,2,False,False
161,frame_0307.jpg,122.8,0.3791,0.5924,0.1429,0.2,6,1,False,False
162,frame_0277.jpg,110.8,0.3779,0.4724,0.2857,0.28,6,2,False,False
163,frame_0105.jpg,42.0,0.3764,0.4636,0.4286,0.08,5,3,False,False
164,frame_0179.jpg,71.6,0.3759,0.4467,0.4286,0.12,4,3,False,False
165,frame_0091.jpg,36.4,0.3757,0.5377,0.1429,0.32,2,1,False,False
166,frame_0082.jpg,32.8,0.3731,0.3884,0.1429,0.68,2,1,False,False
167,frame_0174.jpg,69.6,0.3719,0.5301,0.1429,0.32,4,1,False,False
168,frame_0273.jpg,109.2,0.3718,0.4384,0.4286,0.12,4,3,False,False
169,frame_0199.jpg,79.6,0.3716,0.4654,0.1429,0.48,1,1,False,False
170,frame_0323.jpg,129.2,0.3669,0.6001,0.1429,0.12,2,1,False,False
171,frame_0188.jpg,75.2,0.3655,0.4579,0.4286,0.04,7,3,False,False
172,frame_0381.jpg,152.4,0.3649,0.4567,0.4286,0.04,4,3,False,False
173,frame_0308.jpg,123.2,0.3642,0.493,0.2857,0.16,5,2,False,False
174,frame_0333.jpg,133.2,0.3633,0.5232,0.2857,0.08,5,2,False,False
175,frame_0233.jpg,93.2,0.363,0.5442,0.1429,0.24,4,1,False,False
176,frame_0300.jpg,120.0,0.3608,0.5295,0.0,0.48,3,0,False,False
177,frame_0177.jpg,70.8,0.3604,0.3837,0.4286,0.2,5,3,False,False
178,frame_0171.jpg,68.4,0.3598,0.3721,0.2857,0.44,3,2,False,False
179,frame_0394.jpg,157.6,0.3576,0.426,0.4286,0.08,4,3,False,False
180,frame_0178.jpg,71.2,0.3566,0.5635,0.1429,0.16,3,1,False,False
181,frame_0185.jpg,74.0,0.3562,0.509,0.2857,0.08,4,2,False,False
182,frame_0385.jpg,154.0,0.355,0.4586,0.2857,0.2,5,2,False,False
183,frame_0299.jpg,119.6,0.3535,0.4133,0.1429,0.52,3,1,False,False
184,frame_0085.jpg,34.0,0.3528,0.4816,0.0,0.56,2,0,False,False
185,frame_0097.jpg,38.8,0.3519,0.586,0.1429,0.08,4,1,False,False
186,frame_0001.jpg,0.4,0.3513,0.3026,0.0,1.0,6,0,False,False
187,frame_0111.jpg,44.4,0.3478,0.6315,0.0,0.16,3,0,False,False
188,frame_0395.jpg,158.0,0.3463,0.4731,0.2857,0.12,4,2,False,False
189,frame_0320.jpg,128.0,0.345,0.4225,0.2857,0.24,6,2,False,False
190,frame_0287.jpg,114.8,0.3448,0.4175,0.0,0.68,5,0,False,False
191,frame_0219.jpg,87.6,0.3401,0.4664,0.1429,0.32,2,1,False,False
192,frame_0081.jpg,32.4,0.3388,0.3039,0.1429,0.72,3,1,False,False
193,frame_0180.jpg,72.0,0.3345,0.4656,0.2857,0.08,5,2,False,False
194,frame_0201.jpg,80.4,0.3343,0.3588,0.1429,0.56,2,1,False,False
195,frame_0283.jpg,113.2,0.3338,0.3738,0.1429,0.52,5,1,False,False
196,frame_0224.jpg,89.6,0.3322,0.6163,0.0,0.12,3,0,False,False
197,frame_0269.jpg,107.6,0.3321,0.5624,0.1429,0.04,3,1,False,False
198,frame_0398.jpg,159.2,0.3275,0.3875,0.2857,0.24,5,2,False,False
199,frame_0330.jpg,132.0,0.3252,0.463,0.2857,0.04,6,2,False,False
200,frame_0112.jpg,44.8,0.3236,0.4814,0.1429,0.2,3,1,False,False
201,frame_0094.jpg,37.6,0.3223,0.3931,0.2857,0.2,4,2,False,False
202,frame_0268.jpg,107.2,0.3209,0.3527,0.4286,0.08,5,3,False,False
203,frame_0222.jpg,88.8,0.3205,0.3038,0.4286,0.2,4,3,False,False
204,frame_0390.jpg,156.0,0.3196,0.4357,0.2857,0.08,7,2,False,False
205,frame_0225.jpg,90.0,0.317,0.4305,0.2857,0.08,6,2,False,False
